meta_prompt,obj1,obj2,obj3,synthetic_prompt
"In one sentence, Describe a scene about persons and sports ball and cat.",sports ball,cat,,a group of people are playing a game of catch with a sports ball while a cat watches curiously from the sidelines.
"In one sentence, Describe a scene about persons and skateboard and zebra.",skateboard,zebra,,persons are skateboarding around a zebra in a park.
"In one sentence, Describe a scene about persons and clock and airplane.",clock,airplane,,"a group of people standing in a circle around a clock, watching an airplane fly overhead."
"In one sentence, Describe a scene about persons and teddy bear and keyboard.",teddy bear,keyboard,,"a group of people are gathered around a keyboard, with a teddy bear perched on top, singing and laughing together."
"In one sentence, Describe a scene about persons and sink and person.",sink,person,,a person is washing dishes at a sink surrounded by other persons who are chatting and laughing.
"In one sentence, Describe a scene about persons and dining table and boat.",dining table,boat,,"a group of people are gathered around a dining table on a boat, enjoying a meal and conversation."
"In one sentence, Describe a scene about persons and zebra and kite.",zebra,kite,,"a group of people are gathered in a park, flying kites and watching zebras gallop around them."
"In one sentence, Describe a scene about persons and traffic light and refrigerator.",traffic light,refrigerator,,"at a busy intersection, a group of people wait for the traffic light to turn green while a refrigerator hums in the background."
"In one sentence, Describe a scene about persons and person and toaster.",person,toaster,,"a group of people are gathered around a toaster, laughing and talking as the person in charge of the toaster flips the switch and watches the toaster start to work."
"In one sentence, Describe a scene about persons and banana and chair.",banana,chair,,"a group of people sitting around a table, each with a banana in one hand and a chair in the other."
"In one sentence, Describe a scene about persons and oven and scissors.",oven,scissors,,persons are using scissors to cut open an oven to retrieve something inside.
"In one sentence, Describe a scene about persons and orange and remote.",orange,remote,,a group of people sitting around a table with an orange in the middle and a remote control beside it.
"In one sentence, Describe a scene about persons and bench and parking meter.",bench,parking meter,,"a group of people are sitting on a bench near a parking meter, chatting and enjoying the warm afternoon sun."
"In one sentence, Describe a scene about persons and sandwich and giraffe.",sandwich,giraffe,,a group of people are eating sandwiches while a giraffe watches curiously from the sidelines.
"In one sentence, Describe a scene about persons and orange and car.",orange,car,,"a group of people are standing around an orange car, admiring its bright, vibrant colour."
"In one sentence, Describe a scene about persons and sheep and toaster.",sheep,toaster,,"a group of people are standing in a meadow, surrounded by sheep, while a toaster sits in the middle of the group, toasting bread."
"In one sentence, Describe a scene about persons and tv and fire hydrant.",tv,fire hydrant,,"a group of people are gathered around a fire hydrant, watching a show on a portable television."
"In one sentence, Describe a scene about persons and person and clock.",person,clock,,"a person is standing in front of a clock, talking to another person."
"In one sentence, Describe a scene about persons and giraffe and airplane.",giraffe,airplane,,"persons are standing in a field, watching a giraffe graze, while an airplane soars overhead."
"In one sentence, Describe a scene about persons and toaster and sink.",toaster,sink,,"a group of people gathered around a kitchen sink and toaster, chatting and laughing."
"In one sentence, Describe a scene about persons and bird and dog.",bird,dog,,"a group of people are standing in a park, surrounded by chirping birds and playing dogs."
"In one sentence, Describe a scene about persons and train and dog.",train,dog,,"a group of people are standing on a train platform with their dog, anxiously awaiting the arrival of the train."
"In one sentence, Describe a scene about persons and scissors and zebra.",scissors,zebra,,persons are cutting a zebra pattern out of paper with scissors.
"In one sentence, Describe a scene about persons and apple and sandwich.",apple,sandwich,,a group of people are sitting around a picnic table enjoying apples and sandwiches.
"In one sentence, Describe a scene about persons and bowl and bench.",bowl,bench,,"a group of people are gathered around a wooden bench and a bowl of snacks in a park, chatting and laughing."
